injection_rate,throughput,per_node_throughput,avg_latency,avg_hops,network_latency,queueing_latency,packets_received,packets_injected
0.01,0.315000,0.004922,10.053333,2.522222,8.053333,2,3150,3151
0.1,3.190800,0.049856,10.068666,2.493231,8.068666,2,31908,31948
0.2,6.373600,0.099587,10.140454,2.502918,8.140454,2,63736,63806
0.3,9.571800,0.149559,10.180039,2.500575,8.180039,2,95718,95810
0.4,12.752000,0.199250,10.220083,2.498471,8.220075,2.000008,127520,127637
0.5,15.931300,0.248927,10.272715,2.500399,8.272715,2,159313,159452
0.6,19.133300,0.298958,10.337537,2.501435,8.337516,2.000021,191333,191507
0.7,22.352200,0.349253,10.411883,2.503114,8.411651,2.000233,223522,223725
0.8,25.561300,0.399395,10.539886,2.507787,8.535329,2.004558,255613,255852
0.9,28.739300,0.449052,10.765847,2.510691,8.702279,2.063568,287393,287666
1.0,31.871100,0.497986,20.042211,2.515043,8.942129,11.100081,318711,319016
